CustomerID,Age,Gender,Income_Level,Health_Conscious_Score,Current_Food_Preference,Purchase_Intention,Willingness_To_Pay_INR,Feature_Preference_Taste,Feature_Preference_Freshness,Feature_Preference_Packaging,Feature_Preference_Price,Feature_Preference_Availability,Expected_Repeat_Purchase_Rate,Open_Ended_Feedback,Preferred_Channel,Proximity_to_Store,Channel_Satisfaction,Awareness_Source,Promo_Response,Ad_Recall_Score,Coupon_Usage(%),Brand_Engagement
165,36,Male,Medium,2,Pizza,0,230,3,4,2,3,4,0.44,Would try it if there are good dressing options.,Dine-In,2.28,3,In-store Promo,Yes,2,34,Medium
166,27,Other,Medium,2,Fries/Sides Only,0,244,5,3,4,5,4,0.39,Worried a salad won't taste as good as your burgers.,Delivery App,2.91,2,In-store Promo,Yes,4,91,Low
167,54,Other,High,10,Fried Chicken,1,351,2,5,2,2,2,0.87,I'd love a fresh salad option on the menu.,Delivery App,0.48,4,TV,No,2,76,Low
168,22,Male,Medium,7,Wraps,1,231,4,4,5,5,5,0.83,Convenience matters more to me than health.,Drive-Thru,2.13,2,Online Ads,No,1,13,Medium
169,24,Female,High,6,Sandwiches,1,299,5,4,3,4,2,0.79,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,3.44,4,Social Media,Yes,3,88,Low
170,48,Female,High,1,Pizza,0,189,3,3,1,2,2,0.07,"I usually come here for indulgent food, not salads.",Delivery App,3.89,3,Word of Mouth,No,5,82,Low
171,46,Male,High,7,Fries/Sides Only,1,279,3,5,2,1,3,0.68,Would love a combo with salad instead of fries.,Takeaway Counter,2.08,5,Online Ads,Yes,2,25,High
172,33,Male,Medium,6,Fries/Sides Only,1,242,4,2,1,1,2,0.81,Would try it if there are good dressing options.,Delivery App,3.01,2,In-store Promo,No,3,44,Low
173,34,Other,High,2,Pizza,1,146,5,3,2,2,2,0.64,"I usually come here for indulgent food, not salads.",Delivery App,2.62,1,In-store Promo,No,2,76,High
174,32,Female,Medium,5,Fries/Sides Only,0,289,4,5,4,3,2,0.22,Healthy options would make me visit more often.,Online Order/App,3.42,5,In-store Promo,No,1,65,High
175,41,Other,Medium,10,Pizza,1,222,1,5,3,3,3,0.95,Packaging needs to keep it fresh till I get home.,Online Order/App,1.02,5,TV,No,5,51,Medium
176,26,Other,Low,8,Pizza,1,268,4,4,5,2,3,0.66,Would love a combo with salad instead of fries.,Dine-In,3.46,4,Word of Mouth,Yes,2,84,High
177,29,Female,Low,3,Fries/Sides Only,1,306,2,5,1,2,3,0.65,Great idea if the portions are filling enough.,Online Order/App,2.16,3,Word of Mouth,Yes,3,59,High
178,48,Male,High,10,Wraps,0,214,2,3,4,5,3,0.5,Convenience matters more to me than health.,Drive-Thru,4.37,2,TV,No,3,52,High
179,47,Male,Low,3,None,1,211,2,3,4,3,2,0.81,"Price is a concern, salads are usually costly.",Takeaway Counter,3.85,4,Social Media,Yes,4,81,Medium
180,45,Female,Medium,1,Wraps,1,203,1,4,5,2,1,0.56,Packaging needs to keep it fresh till I get home.,Drive-Thru,3.17,2,TV,No,3,39,Low
181,42,Other,Medium,3,Burgers,0,204,3,2,5,3,4,0.41,Packaging needs to keep it fresh till I get home.,Dine-In,1.78,4,Word of Mouth,No,2,51,Low
182,32,Other,High,4,Fries/Sides Only,1,253,1,2,1,4,3,0.94,Worried a salad won't taste as good as your burgers.,Takeaway Counter,0.34,1,Social Media,No,1,6,Medium
183,44,Female,Medium,9,Pizza,1,223,1,4,5,3,5,0.95,I'd switch some visits to a salad if it's affordable.,Dine-In,2.15,1,Online Ads,No,1,36,Low
184,24,Female,Low,4,None,1,257,2,3,2,1,5,0.9,Healthy options would make me visit more often.,Dine-In,3.47,4,Word of Mouth,Yes,1,85,Low
185,25,Other,Medium,3,Burgers,0,159,1,4,4,3,3,0.24,Healthy options would make me visit more often.,Drive-Thru,0.59,2,Social Media,No,3,86,Low
186,25,Male,High,1,Burgers,0,261,2,1,5,3,1,0.6,Would try it if there are good dressing options.,Online Order/App,1.0,4,In-store Promo,No,3,49,Medium
187,48,Female,Medium,3,Burgers,1,289,2,5,4,5,4,0.95,"Price is a concern, salads are usually costly.",Takeaway Counter,1.96,3,Online Ads,Yes,2,61,High
188,25,Female,Medium,2,Pizza,0,138,5,3,5,2,3,0.14,Worried a salad won't taste as good as your burgers.,Takeaway Counter,3.47,5,Social Media,Yes,2,61,Low
189,59,Female,Low,9,Wraps,1,321,2,4,4,2,1,0.87,Healthy options would make me visit more often.,Online Order/App,1.28,3,Social Media,Yes,5,82,Low
190,33,Male,Medium,10,Sandwiches,1,300,3,5,1,1,4,0.95,Convenience matters more to me than health.,Drive-Thru,2.83,1,Social Media,No,5,81,Low
191,50,Other,Low,8,Pizza,1,195,2,5,5,5,4,0.75,Would love a combo with salad instead of fries.,Online Order/App,3.61,1,Social Media,No,2,0,Low
192,58,Female,Medium,6,Fries/Sides Only,1,347,4,5,4,1,3,0.95,I'd switch some visits to a salad if it's affordable.,Dine-In,1.02,4,TV,Yes,2,91,Low
193,44,Male,High,10,Burgers,0,290,5,5,4,1,5,0.48,Would love a combo with salad instead of fries.,Drive-Thru,2.81,4,Online Ads,Yes,5,99,High
194,29,Other,Medium,3,Burgers,0,264,3,2,5,2,3,0.36,Convenience matters more to me than health.,Online Order/App,4.86,4,TV,Yes,5,89,High
195,50,Female,High,9,None,1,339,5,4,5,3,3,0.81,Packaging needs to keep it fresh till I get home.,Dine-In,4.91,2,Online Ads,Yes,3,90,Low
196,40,Other,Medium,10,Fries/Sides Only,1,335,5,5,1,5,1,0.95,I'd love a fresh salad option on the menu.,Delivery App,0.81,1,TV,Yes,2,36,Medium
197,27,Male,Medium,5,Fried Chicken,0,166,4,5,5,2,5,0.58,Convenience matters more to me than health.,Dine-In,2.6,3,Social Media,No,4,53,High
198,38,Other,Low,5,Fried Chicken,0,316,4,5,3,5,5,0.11,Would love a combo with salad instead of fries.,Takeaway Counter,1.06,2,Word of Mouth,Yes,1,23,High
199,50,Male,Medium,7,Pizza,1,202,5,4,4,2,1,0.83,"Price is a concern, salads are usually costly.",Online Order/App,3.02,5,Word of Mouth,Yes,5,70,Low
200,38,Other,Low,3,Wraps,1,245,4,2,3,2,2,0.72,Packaging needs to keep it fresh till I get home.,Online Order/App,1.72,3,TV,No,5,67,Medium
201,53,Other,Low,6,Sandwiches,1,296,5,4,3,4,1,0.86,Convenience matters more to me than health.,Online Order/App,2.75,3,Social Media,No,3,65,High
202,46,Female,Low,4,Pizza,0,342,2,5,5,1,1,0.33,Great idea if the portions are filling enough.,Dine-In,4.34,4,Social Media,Yes,4,82,High
203,22,Other,Medium,1,Sandwiches,0,136,1,4,5,1,5,0.41,Great idea if the portions are filling enough.,Online Order/App,2.1,4,In-store Promo,Yes,1,49,Medium
204,52,Male,Medium,10,Burgers,0,317,1,4,3,3,5,0.64,Not sure if a salad fits a fast food place.,Online Order/App,3.85,4,In-store Promo,Yes,1,60,Low
205,32,Male,Medium,9,Pizza,0,221,3,5,5,2,1,0.47,I'd love a fresh salad option on the menu.,Drive-Thru,2.91,4,Online Ads,Yes,1,39,Low
206,40,Male,Medium,9,Fried Chicken,1,236,3,5,5,1,5,0.95,Healthy options would make me visit more often.,Takeaway Counter,0.46,1,Word of Mouth,Yes,5,62,High
207,40,Male,Medium,4,Burgers,1,166,2,3,5,3,5,0.93,"Price is a concern, salads are usually costly.",Takeaway Counter,2.88,3,In-store Promo,Yes,3,31,Medium
208,59,Female,Low,6,Fried Chicken,0,234,4,3,3,4,5,0.45,Not sure if a salad fits a fast food place.,Dine-In,3.26,1,Word of Mouth,No,2,68,Low
209,58,Male,Medium,1,None,0,134,5,1,2,1,5,0.2,"I usually come here for indulgent food, not salads.",Takeaway Counter,4.48,5,In-store Promo,No,2,46,Low
210,55,Other,High,3,Sandwiches,0,162,3,1,5,2,5,0.36,"Price is a concern, salads are usually costly.",Delivery App,0.88,5,Online Ads,No,2,94,Medium
211,40,Male,Low,8,Fried Chicken,1,258,1,4,3,4,4,0.7,Healthy options would make me visit more often.,Drive-Thru,0.3,3,Social Media,No,5,81,High
212,34,Other,Medium,3,Sandwiches,0,217,1,2,2,5,4,0.34,Would try it if there are good dressing options.,Online Order/App,2.49,4,Online Ads,Yes,2,56,Low
213,22,Other,Medium,4,Fried Chicken,1,224,1,3,3,1,4,0.65,Packaging needs to keep it fresh till I get home.,Delivery App,2.45,5,TV,No,4,2,Low
214,26,Other,Medium,3,Fries/Sides Only,0,322,2,4,2,5,4,0.4,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,3.22,3,Social Media,Yes,5,60,High
215,28,Male,High,10,Fried Chicken,0,364,2,4,2,3,4,0.37,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,0.44,4,In-store Promo,Yes,1,25,Medium
216,50,Other,Medium,3,Wraps,1,239,5,1,5,5,1,0.58,Not sure if a salad fits a fast food place.,Delivery App,3.33,5,Online Ads,No,4,66,Medium
217,20,Other,Medium,4,None,0,306,3,2,5,1,4,0.25,"Price is a concern, salads are usually costly.",Online Order/App,2.44,2,Social Media,Yes,5,52,Low
218,18,Other,Medium,1,Wraps,0,232,4,1,3,4,3,0.13,Not sure if a salad fits a fast food place.,Dine-In,2.19,5,Word of Mouth,Yes,5,54,Medium
219,57,Female,High,7,None,1,286,5,3,5,4,3,0.86,"I usually come here for indulgent food, not salads.",Takeaway Counter,1.79,4,TV,No,1,95,Low
220,28,Male,Low,7,None,1,286,1,5,1,1,2,0.95,Healthy options would make me visit more often.,Takeaway Counter,2.23,1,Word of Mouth,Yes,1,77,Low
221,42,Female,Medium,9,Pizza,0,311,2,4,2,5,3,0.36,Great idea if the portions are filling enough.,Drive-Thru,3.94,5,Online Ads,No,5,21,Medium
222,41,Male,Medium,3,Burgers,0,300,3,2,2,5,1,0.23,Would love a combo with salad instead of fries.,Drive-Thru,4.6,5,Word of Mouth,No,5,74,Low
223,35,Male,Medium,4,Sandwiches,0,267,3,4,5,1,5,0.54,"I usually come here for indulgent food, not salads.",Online Order/App,4.74,5,Word of Mouth,No,5,32,Medium
224,42,Other,Medium,4,None,1,307,4,5,4,1,3,0.6,Not sure if a salad fits a fast food place.,Delivery App,3.2,2,TV,No,4,45,Medium
225,18,Other,High,4,Pizza,1,287,3,5,4,3,3,0.94,Great idea if the portions are filling enough.,Takeaway Counter,1.42,2,In-store Promo,No,2,94,Low
226,34,Male,Low,4,None,0,183,1,3,4,5,1,0.42,Worried a salad won't taste as good as your burgers.,Drive-Thru,4.26,3,Online Ads,Yes,5,35,Medium
227,50,Female,Medium,10,Fried Chicken,1,360,4,5,3,4,2,0.89,Healthy options would make me visit more often.,Drive-Thru,3.52,4,Word of Mouth,No,1,86,Low
228,55,Male,Low,10,None,1,310,2,5,3,3,2,0.95,Healthy options would make me visit more often.,Delivery App,1.13,3,Word of Mouth,No,3,57,Low
229,26,Other,Medium,2,Fries/Sides Only,1,183,4,3,2,4,1,0.66,"Price is a concern, salads are usually costly.",Delivery App,2.55,5,Online Ads,No,4,38,Low
230,54,Male,Medium,3,Burgers,1,195,1,2,3,3,5,0.8,Worried a salad won't taste as good as your burgers.,Online Order/App,1.79,4,Social Media,Yes,5,25,Medium
231,59,Other,Medium,5,Pizza,1,262,4,4,3,4,2,0.71,"Price is a concern, salads are usually costly.",Online Order/App,2.17,5,Online Ads,Yes,1,10,Low
232,32,Female,Low,5,Fries/Sides Only,1,289,3,5,3,5,5,0.63,Healthy options would make me visit more often.,Delivery App,0.92,1,TV,No,3,95,Medium
233,23,Male,Low,2,Burgers,1,312,5,4,5,1,1,0.83,"I usually come here for indulgent food, not salads.",Takeaway Counter,0.86,4,Word of Mouth,Yes,3,56,Medium
234,26,Other,High,1,Burgers,0,300,3,3,5,3,5,0.19,Healthy options would make me visit more often.,Dine-In,4.85,5,TV,No,4,80,Medium
235,54,Female,Medium,9,Pizza,0,288,2,5,3,4,3,0.33,"Price is a concern, salads are usually costly.",Online Order/App,0.15,5,TV,Yes,4,68,Low
236,49,Female,Low,7,None,1,222,1,3,5,4,4,0.81,Great idea if the portions are filling enough.,Dine-In,3.6,4,In-store Promo,Yes,1,54,Medium
237,51,Other,High,5,Pizza,0,266,3,2,2,2,3,0.55,Not sure if a salad fits a fast food place.,Delivery App,3.13,3,Online Ads,Yes,3,2,Low
238,52,Male,Low,2,Pizza,1,279,1,3,4,2,3,0.83,Convenience matters more to me than health.,Online Order/App,3.95,4,Word of Mouth,Yes,1,42,Low
239,27,Male,Low,7,Burgers,1,212,3,5,1,2,4,0.58,Healthy options would make me visit more often.,Dine-In,3.71,1,TV,Yes,1,66,Medium
240,31,Female,Medium,5,Pizza,1,306,5,3,3,2,3,0.78,I'd love a fresh salad option on the menu.,Dine-In,4.87,2,In-store Promo,Yes,2,35,Medium
241,43,Male,Low,1,Wraps,0,223,5,3,2,2,4,0.53,Not sure if a salad fits a fast food place.,Takeaway Counter,1.76,1,Social Media,Yes,2,89,Medium
242,24,Male,Medium,6,Wraps,0,319,4,4,4,3,2,0.39,"I usually come here for indulgent food, not salads.",Drive-Thru,2.48,4,Online Ads,Yes,4,24,Medium
243,52,Female,Low,8,Pizza,0,304,5,5,4,3,3,0.62,Worried a salad won't taste as good as your burgers.,Online Order/App,2.32,5,In-store Promo,No,1,79,High
244,57,Male,Low,2,Fries/Sides Only,0,300,2,1,5,2,5,0.31,"I usually come here for indulgent food, not salads.",Online Order/App,2.11,3,Social Media,Yes,1,5,High
245,26,Male,High,4,Burgers,0,172,5,3,4,5,5,0.26,Would love a combo with salad instead of fries.,Takeaway Counter,1.35,3,TV,No,1,1,High
246,31,Other,Medium,2,Sandwiches,0,148,5,3,3,1,5,0.05,"I usually come here for indulgent food, not salads.",Takeaway Counter,0.3,1,Word of Mouth,Yes,2,66,Low
247,32,Other,Medium,4,Wraps,0,266,2,2,1,5,3,0.31,Packaging needs to keep it fresh till I get home.,Delivery App,3.54,4,Social Media,Yes,2,70,Medium
248,39,Other,Low,10,Sandwiches,0,380,5,5,3,4,4,0.49,Would love a combo with salad instead of fries.,Online Order/App,3.08,5,Online Ads,Yes,5,95,Low
249,46,Female,High,1,Fries/Sides Only,1,185,1,1,3,1,3,0.67,Great idea if the portions are filling enough.,Dine-In,4.29,1,Word of Mouth,No,5,71,Medium
250,54,Male,Low,8,Pizza,1,237,5,4,3,1,5,0.95,Convenience matters more to me than health.,Takeaway Counter,4.6,1,Word of Mouth,No,2,62,High
251,54,Male,Medium,5,Burgers,0,275,1,4,3,3,4,0.07,Convenience matters more to me than health.,Drive-Thru,4.36,2,Online Ads,No,4,6,Low
252,20,Female,Medium,3,Pizza,0,188,1,1,4,5,5,0.05,Worried a salad won't taste as good as your burgers.,Drive-Thru,1.19,3,In-store Promo,Yes,3,10,Medium
253,21,Other,Medium,2,Sandwiches,0,291,2,3,2,4,4,0.17,Packaging needs to keep it fresh till I get home.,Takeaway Counter,1.06,5,Online Ads,Yes,1,34,Medium
254,38,Other,High,2,Burgers,0,221,3,3,1,3,2,0.47,Would try it if there are good dressing options.,Takeaway Counter,4.13,4,Online Ads,Yes,1,29,Low
255,41,Male,High,2,Burgers,0,185,5,4,3,1,3,0.21,Would love a combo with salad instead of fries.,Drive-Thru,1.6,4,Social Media,Yes,5,27,Low
256,51,Female,Medium,10,Fries/Sides Only,0,339,1,3,5,1,3,0.73,"Price is a concern, salads are usually costly.",Drive-Thru,1.49,5,Word of Mouth,Yes,1,8,Low
257,35,Other,High,6,None,1,226,4,4,1,3,4,0.95,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,0.53,2,Online Ads,No,5,91,Low
258,33,Other,Low,8,Sandwiches,0,188,3,4,5,3,1,0.56,Packaging needs to keep it fresh till I get home.,Online Order/App,4.41,1,Online Ads,No,2,19,Low
259,43,Other,Low,7,Wraps,0,298,2,3,4,3,5,0.54,Would try it if there are good dressing options.,Delivery App,2.76,2,TV,No,2,17,Low
260,51,Male,Medium,3,Fries/Sides Only,0,327,3,4,1,2,3,0.44,"Price is a concern, salads are usually costly.",Drive-Thru,3.85,4,In-store Promo,Yes,3,19,Medium
261,24,Male,Low,10,Wraps,1,313,2,4,1,3,1,0.84,Would love a combo with salad instead of fries.,Delivery App,0.76,5,In-store Promo,No,3,23,High
262,49,Female,Low,4,Fried Chicken,1,305,1,5,2,2,2,0.61,Not sure if a salad fits a fast food place.,Dine-In,4.64,4,Online Ads,Yes,3,58,High
263,45,Female,High,10,Fries/Sides Only,0,344,4,4,5,5,5,0.34,Packaging needs to keep it fresh till I get home.,Drive-Thru,2.65,4,In-store Promo,No,1,31,Medium
264,43,Other,Low,7,Wraps,0,369,2,4,3,3,4,0.59,"Price is a concern, salads are usually costly.",Delivery App,1.54,1,Online Ads,No,4,82,Medium
265,50,Male,Low,10,Fries/Sides Only,1,279,3,4,5,2,4,0.93,Not sure if a salad fits a fast food place.,Online Order/App,1.69,2,Social Media,Yes,4,81,Low
266,51,Other,Medium,9,Wraps,0,268,4,5,3,5,2,0.51,"Price is a concern, salads are usually costly.",Dine-In,0.98,1,In-store Promo,Yes,4,36,Medium
267,25,Male,High,1,Wraps,0,130,4,3,1,5,4,0.17,Great idea if the portions are filling enough.,Dine-In,2.99,4,In-store Promo,Yes,1,76,Medium
268,33,Other,Low,9,None,0,202,2,5,2,1,5,0.53,I'd switch some visits to a salad if it's affordable.,Online Order/App,1.72,1,Social Media,Yes,2,20,Medium
269,57,Other,Medium,10,Wraps,0,235,4,5,1,1,3,0.36,Would try it if there are good dressing options.,Online Order/App,4.5,1,In-store Promo,No,1,37,Medium
270,25,Other,High,6,Wraps,1,210,2,3,5,1,4,0.77,Would love a combo with salad instead of fries.,Takeaway Counter,4.68,3,In-store Promo,No,3,33,Medium
271,57,Female,High,10,Wraps,1,346,4,4,5,2,3,0.9,Great idea if the portions are filling enough.,Drive-Thru,0.68,4,Social Media,No,2,78,High
272,44,Male,Low,9,None,1,194,2,4,1,3,3,0.77,Worried a salad won't taste as good as your burgers.,Takeaway Counter,1.69,1,Social Media,No,3,50,Medium
273,57,Male,High,4,Pizza,0,336,4,5,2,4,2,0.25,Packaging needs to keep it fresh till I get home.,Delivery App,4.47,5,Word of Mouth,Yes,4,95,Low
274,51,Female,Medium,6,Wraps,0,210,3,4,3,1,2,0.12,"I usually come here for indulgent food, not salads.",Drive-Thru,1.76,4,Online Ads,No,5,77,Low
275,56,Male,High,5,Fries/Sides Only,0,302,3,2,2,3,4,0.49,"I usually come here for indulgent food, not salads.",Dine-In,2.67,2,Social Media,Yes,1,99,Low
276,23,Female,Medium,8,Wraps,1,252,4,4,3,2,1,0.68,Worried a salad won't taste as good as your burgers.,Dine-In,1.11,1,In-store Promo,Yes,5,14,Low
277,20,Other,High,2,Pizza,0,145,5,3,1,5,3,0.09,Packaging needs to keep it fresh till I get home.,Dine-In,1.67,2,Word of Mouth,Yes,3,98,Medium
278,25,Female,Low,5,Burgers,1,285,5,5,5,3,3,0.91,"Price is a concern, salads are usually costly.",Online Order/App,2.91,2,Social Media,Yes,3,69,Medium
279,26,Male,Medium,1,Burgers,0,145,4,3,5,4,5,0.5,Would try it if there are good dressing options.,Online Order/App,1.73,2,Online Ads,Yes,4,72,Low
280,47,Male,Medium,8,Sandwiches,1,229,5,4,2,3,3,0.95,Healthy options would make me visit more often.,Delivery App,0.25,4,Social Media,Yes,4,21,Low
281,40,Other,Medium,9,Burgers,1,335,1,4,3,5,4,0.95,Convenience matters more to me than health.,Takeaway Counter,2.13,5,TV,Yes,4,49,Low
282,31,Other,Medium,7,Wraps,0,285,2,5,5,4,1,0.64,I'd switch some visits to a salad if it's affordable.,Takeaway Counter,2.37,5,Social Media,No,2,39,High
283,22,Other,Low,10,None,0,265,1,5,5,1,2,0.65,Packaging needs to keep it fresh till I get home.,Dine-In,2.32,3,In-store Promo,No,4,25,Low
284,38,Female,Medium,5,Sandwiches,0,343,1,2,5,4,2,0.3,"I usually come here for indulgent food, not salads.",Drive-Thru,1.91,5,Social Media,Yes,5,45,Low
285,36,Male,Low,10,Sandwiches,1,342,4,4,2,4,2,0.95,Great idea if the portions are filling enough.,Takeaway Counter,1.98,3,In-store Promo,Yes,2,17,Low
286,59,Male,Low,8,Fries/Sides Only,1,382,1,5,4,5,4,0.95,I'd switch some visits to a salad if it's affordable.,Dine-In,2.33,4,Online Ads,No,4,45,Low
287,45,Other,Low,8,None,0,326,3,3,3,1,1,0.56,I'd switch some visits to a salad if it's affordable.,Delivery App,3.55,1,Online Ads,Yes,1,18,Medium
288,51,Female,Medium,2,Wraps,0,154,4,2,1,5,5,0.18,"I usually come here for indulgent food, not salads.",Takeaway Counter,0.36,3,Online Ads,No,4,58,Medium
289,48,Other,Medium,7,Pizza,0,336,3,5,5,3,5,0.64,"I usually come here for indulgent food, not salads.",Drive-Thru,3.18,5,TV,No,3,94,Medium
290,36,Female,Low,9,Burgers,0,248,2,4,3,1,1,0.4,I'd switch some visits to a salad if it's affordable.,Dine-In,4.56,2,In-store Promo,Yes,2,33,Medium
291,33,Female,Low,9,None,1,389,2,3,4,4,4,0.72,Great idea if the portions are filling enough.,Delivery App,3.66,2,TV,No,3,6,Medium
292,25,Male,Low,7,Sandwiches,1,325,5,4,4,4,3,0.95,"Price is a concern, salads are usually costly.",Takeaway Counter,4.36,1,Word of Mouth,No,4,48,Medium
293,51,Other,High,2,Wraps,0,327,4,1,3,3,3,0.2,"I usually come here for indulgent food, not salads.",Drive-Thru,1.35,5,In-store Promo,Yes,2,93,Medium
294,30,Other,Low,3,Pizza,0,279,1,3,1,4,3,0.37,Great idea if the portions are filling enough.,Online Order/App,1.33,1,Social Media,No,1,76,Medium
295,31,Other,Medium,2,Burgers,0,162,5,3,1,2,3,0.25,"I usually come here for indulgent food, not salads.",Delivery App,3.34,1,In-store Promo,No,3,98,Medium
296,60,Female,Low,2,Pizza,0,213,3,3,3,2,4,0.34,Not sure if a salad fits a fast food place.,Delivery App,4.9,2,Online Ads,Yes,4,13,Low
297,45,Male,Medium,2,Sandwiches,0,157,1,4,4,1,4,0.44,"Price is a concern, salads are usually costly.",Drive-Thru,4.67,4,Word of Mouth,Yes,3,50,Medium
298,50,Other,High,8,Sandwiches,1,353,1,4,4,1,5,0.86,Worried a salad won't taste as good as your burgers.,Online Order/App,1.73,3,In-store Promo,Yes,1,46,Medium
299,39,Male,High,5,Fries/Sides Only,1,271,4,3,4,1,3,0.69,Healthy options would make me visit more often.,Drive-Thru,4.44,4,TV,Yes,2,3,Medium
300,55,Male,Medium,2,None,0,198,5,4,1,1,3,0.28,I'd love a fresh salad option on the menu.,Online Order/App,3.96,1,In-store Promo,Yes,5,58,High
301,52,Male,Medium,4,Burgers,1,180,1,1,1,2,2,0.84,I'd love a fresh salad option on the menu.,Dine-In,3.2,3,Social Media,Yes,2,75,Low
302,24,Male,Medium,10,Fried Chicken,1,241,3,5,4,3,1,0.51,Packaging needs to keep it fresh till I get home.,Takeaway Counter,2.77,3,TV,No,5,22,Low
303,25,Female,Low,7,Fried Chicken,0,287,4,4,2,1,5,0.64,Convenience matters more to me than health.,Dine-In,0.18,4,Social Media,Yes,2,11,Medium
304,55,Female,Medium,8,Fries/Sides Only,1,213,3,3,2,5,1,0.84,I'd switch some visits to a salad if it's affordable.,Dine-In,3.61,5,Social Media,No,3,44,Medium
305,53,Male,Low,9,Burgers,1,365,5,4,2,3,1,0.87,Great idea if the portions are filling enough.,Drive-Thru,4.0,4,In-store Promo,Yes,1,6,Medium
306,36,Male,Medium,6,Wraps,0,320,1,4,5,2,2,0.45,I'd love a fresh salad option on the menu.,Delivery App,2.62,1,TV,No,5,74,Low
307,30,Other,Medium,6,Fried Chicken,0,233,1,4,2,4,2,0.57,Not sure if a salad fits a fast food place.,Delivery App,2.97,1,In-store Promo,Yes,5,58,Low
308,41,Male,Medium,4,Fries/Sides Only,1,206,3,4,1,3,2,0.95,Not sure if a salad fits a fast food place.,Delivery App,2.35,2,Word of Mouth,Yes,3,77,Low
309,58,Other,High,10,Wraps,0,217,5,2,5,4,4,0.53,"I usually come here for indulgent food, not salads.",Drive-Thru,3.68,2,TV,Yes,5,28,High
310,55,Male,High,1,Sandwiches,0,136,4,2,4,5,4,0.14,Healthy options would make me visit more often.,Drive-Thru,2.32,2,Social Media,No,1,88,Medium
311,31,Male,Medium,4,Fries/Sides Only,0,155,3,4,5,5,1,0.52,Healthy options would make me visit more often.,Delivery App,3.88,4,TV,No,3,80,Medium
312,58,Male,High,2,Sandwiches,0,203,1,2,5,5,5,0.58,Great idea if the portions are filling enough.,Drive-Thru,3.14,3,Social Media,Yes,3,6,Low
313,41,Female,Medium,6,Pizza,1,280,1,2,2,3,2,0.72,Worried a salad won't taste as good as your burgers.,Drive-Thru,3.28,5,TV,No,2,41,Low
314,35,Other,Medium,5,Burgers,1,229,4,2,4,5,5,0.8,"I usually come here for indulgent food, not salads.",Delivery App,3.14,1,TV,No,4,11,Low
315,29,Female,High,2,Burgers,1,158,2,1,5,1,3,0.75,Convenience matters more to me than health.,Takeaway Counter,4.67,4,Word of Mouth,Yes,1,37,Low
316,19,Male,High,9,Fries/Sides Only,1,308,3,3,5,5,4,0.9,Healthy options would make me visit more often.,Online Order/App,2.88,3,TV,No,2,61,Low
317,36,Male,Low,5,Sandwiches,0,284,2,3,2,2,2,0.28,Great idea if the portions are filling enough.,Drive-Thru,0.3,3,Online Ads,Yes,3,47,Low
318,53,Other,Low,6,Pizza,1,258,2,3,1,4,4,0.8,"Price is a concern, salads are usually costly.",Delivery App,4.65,2,Social Media,No,5,64,Low
319,36,Female,High,10,Fries/Sides Only,1,313,4,5,4,1,2,0.95,Packaging needs to keep it fresh till I get home.,Takeaway Counter,0.67,1,In-store Promo,No,2,57,Low
320,38,Male,Medium,4,Wraps,0,308,3,3,4,1,5,0.44,Convenience matters more to me than health.,Dine-In,2.5,5,Online Ads,Yes,1,85,Low
321,27,Other,High,6,Sandwiches,1,225,3,3,5,1,2,0.95,Would love a combo with salad instead of fries.,Delivery App,3.73,4,In-store Promo,Yes,4,93,High
322,26,Other,Medium,3,Fried Chicken,1,342,5,3,5,4,1,0.76,I'd love a fresh salad option on the menu.,Delivery App,3.23,3,In-store Promo,Yes,4,90,Medium
323,26,Male,Low,7,Pizza,1,184,3,5,5,4,2,0.73,I'd love a fresh salad option on the menu.,Drive-Thru,0.85,3,In-store Promo,Yes,3,53,Low
324,59,Male,Low,5,Sandwiches,0,173,3,2,3,4,1,0.31,Would try it if there are good dressing options.,Takeaway Counter,3.69,1,Word of Mouth,Yes,1,18,Low
325,26,Female,Low,5,Pizza,1,342,3,4,1,5,2,0.84,Packaging needs to keep it fresh till I get home.,Dine-In,3.85,5,TV,Yes,3,87,Medium
326,35,Other,Medium,6,Burgers,0,238,2,5,3,4,4,0.43,Would try it if there are good dressing options.,Dine-In,0.6,2,Online Ads,Yes,2,71,Medium
327,51,Other,Medium,2,Sandwiches,0,151,2,4,3,3,2,0.26,Healthy options would make me visit more often.,Takeaway Counter,2.66,3,TV,No,1,95,High
328,32,Male,High,3,Fries/Sides Only,1,169,2,4,1,1,1,0.74,Healthy options would make me visit more often.,Delivery App,0.31,1,Social Media,No,5,75,Low
329,25,Female,Low,5,Fries/Sides Only,1,179,1,4,2,2,3,0.75,I'd love a fresh salad option on the menu.,Drive-Thru,0.81,3,Online Ads,Yes,2,64,Medium
330,57,Male,Medium,2,Burgers,0,289,5,3,3,2,5,0.44,I'd love a fresh salad option on the menu.,Drive-Thru,4.63,5,In-store Promo,Yes,5,23,Medium
331,24,Male,High,7,Sandwiches,1,222,1,4,4,1,5,0.71,"Price is a concern, salads are usually costly.",Delivery App,3.84,3,Online Ads,No,1,41,Medium
